Open,High,Low,Close,Volume,open Time,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
1693687500000,25838.85000000,25842.56000000,25833.39000000,25841.12000000,33.30594000,1693687799999,860503.58705110,1598,16.46127000,425286.15524060,0
1693687800000,25841.12000000,25847.00000000,25839.83000000,25839.83000000,23.34351000,1693688099999,603276.13893100,1541,9.03803000,233571.17329780,0
1693688100000,25839.84000000,25848.99000000,25839.83000000,25848.99000000,42.02729000,1693688399999,1086144.95730690,1598,27.46171000,709685.38465920,0
1693688400000,25848.98000000,25848.99000000,25841.67000000,25841.67000000,25.55185000,1693688699999,660358.76743130,1296,8.20298000,211985.89081550,0
1693688700000,25841.67000000,25856.01000000,25841.66000000,25850.01000000,39.94563000,1693688999999,1032537.54572300,1407,19.14794000,494932.30215230,0
1693689000000,25850.01000000,25861.46000000,25846.07000000,25861.45000000,33.08044000,1693689299999,855142.71180310,1167,24.53931000,634352.36241020,0
1693689300000,25861.45000000,25882.26000000,25861.45000000,25876.15000000,65.64240000,1693689599999,1698313.38317660,1846,32.61153000,843673.38772750,0
1693689600000,25876.15000000,25876.16000000,25847.28000000,25847.28000000,40.75620000,1693689899999,1053977.66144810,1677,7.17239000,185474.90446180,0
1693689900000,25847.29000000,25888.64000000,25847.28000000,25869.43000000,66.20710000,1693690199999,1712611.68461080,2111,38.64407000,999554.62621260,0
1693690200000,25869.42000000,25869.43000000,25858.77000000,25858.78000000,21.45396000,1693690499999,554937.43746590,1320,3.19048000,82531.91046160,0
1693690500000,25858.77000000,25867.71000000,25849.64000000,25867.71000000,43.56487000,1693690799999,1126631.10259280,1496,22.86056000,591182.08990330,0
1693690800000,25867.71000000,25881.66000000,25867.70000000,25872.48000000,33.55433000,1693691099999,868259.65196790,1598,16.05090000,415306.09318720,0
1693691100000,25872.48000000,25872.48000000,25863.37000000,25869.01000000,34.64859000,1693691399999,896223.42502650,1307,23.14283000,598594.15500320,0
1693691400000,25869.02000000,25869.02000000,25848.70000000,25848.70000000,29.12754000,1693691699999,753160.41492050,1280,4.11936000,106505.82413360,0
1693691700000,25848.70000000,25858.85000000,25848.70000000,25858.85000000,17.60613000,1693691999999,455166.88892080,1014,13.26195000,342849.65376500,0
1693692000000,25858.84000000,25858.85000000,25846.19000000,25846.70000000,51.46964000,1693692299999,1330519.16143670,1876,10.80924000,279412.27598190,0
1693692300000,25846.70000000,25849.20000000,25845.66000000,25849.20000000,22.85331000,1693692599999,590675.81599270,1324,15.45080000,399347.91734860,0
1693692600000,25849.19000000,25860.00000000,25849.19000000,25853.48000000,40.12855000,1693692899999,1037511.57830400,1223,23.09784000,597159.10180110,0
1693692900000,25853.48000000,25858.63000000,25853.47000000,25856.11000000,18.13949000,1693693199999,469040.86832820,1019,4.84254000,125209.57368750,0
1693693200000,25856.11000000,25856.44000000,25849.19000000,25849.20000000,16.71117000,1693693499999,432008.91237910,1129,3.91027000,101085.24969620,0
1693693500000,25849.19000000,25849.20000000,25849.19000000,25849.19000000,10.81466000,1693693799999,279550.23471080,829,3.35854000,86815.57216800,0
1693693800000,25849.19000000,25851.79000000,25849.19000000,25851.79000000,13.20664000,1693694099999,341394.22710880,883,6.70375000,173292.35796490,0
1693694100000,25851.79000000,25851.79000000,25847.00000000,25851.78000000,20.66795000,1693694399999,534261.34193050,1001,7.11383000,183888.27414390,0
1693694400000,25851.79000000,25851.79000000,25846.00000000,25846.01000000,22.50435000,1693694699999,581731.22124810,1168,5.83465000,150823.55951600,0
1693694700000,25846.01000000,25848.69000000,25845.86000000,25848.68000000,13.07140000,1693694999999,337865.00760140,878,6.65221000,171944.41200040,0
1693695000000,25848.68000000,25852.56000000,25848.68000000,25852.55000000,11.61193000,1693695299999,300167.69335730,719,8.46587000,218841.95398480,0
1693695300000,25852.56000000,25861.51000000,25852.55000000,25861.51000000,22.79073000,1693695599999,589304.18358590,1151,17.88102000,462345.67066690,0
1693695600000,25861.51000000,25861.51000000,25855.06000000,25855.07000000,20.02372000,1693695899999,517813.58805520,1033,4.39340000,113610.64181040,0
1693695900000,25855.06000000,25860.79000000,25855.06000000,25860.79000000,22.40229000,1693696199999,579229.65166660,960,13.08964000,338448.02211060,0
1693696200000,25860.78000000,25863.33000000,25860.78000000,25863.32000000,7.89230000,1693696499999,204109.71706930,716,4.21954000,109126.59779730,0
1693696500000,25863.32000000,25887.72000000,25863.32000000,25880.22000000,55.39340000,1693696799999,1433473.46273590,1774,35.20028000,910836.81377800,0
1693696800000,25880.21000000,25907.09000000,25879.97000000,25896.10000000,125.16344000,1693697099999,3240601.76133180,2294,95.29090000,2467134.85610470,0
1693697100000,25896.11000000,25896.11000000,25886.70000000,25887.54000000,31.61534000,1693697399999,818513.84899110,1373,9.67943000,250578.40811610,0
1693697400000,25887.54000000,25887.54000000,25875.17000000,25878.10000000,29.42086000,1693697699999,761373.19628910,1165,4.34688000,112481.90254410,0
1693697700000,25878.11000000,25878.11000000,25863.55000000,25865.31000000,26.88772000,1693697999999,695599.46634780,1128,3.18962000,82506.05622760,0
1693698000000,25865.31000000,25865.32000000,25865.31000000,25865.32000000,9.42439000,1693698299999,243764.78621030,764,1.72994000,44745.45168080,0
1693698300000,25865.31000000,25865.32000000,25859.18000000,25859.18000000,16.43418000,1693698599999,425030.97456970,1124,1.86564000,48249.81661650,0
1693698600000,25859.18000000,25859.19000000,25855.00000000,25856.94000000,26.57981000,1693698899999,687283.13175250,1015,12.71437000,328742.24200470,0
1693698900000,25856.94000000,25869.52000000,25856.93000000,25869.51000000,21.58289000,1693699199999,558157.13920130,1000,11.13401000,287933.00248100,0
1693699200000,25869.52000000,25872.62000000,25858.09000000,25859.25000000,57.35242000,1693699499999,1483393.58933100,1967,16.86298000,436136.41737370,0
1693699500000,25859.26000000,25869.34000000,25859.25000000,25869.33000000,34.58882000,1693699799999,894577.68211040,1188,18.83861000,487230.74874550,0
1693699800000,25869.34000000,25869.34000000,25864.65000000,25868.09000000,29.98709000,1693700099999,775696.64447240,1195,9.16986000,237191.94075330,0
1693700100000,25868.08000000,25868.09000000,25865.37000000,25865.37000000,27.19071000,1693700399999,703325.03742950,1050,8.50561000,220004.05648400,0
1693700400000,25865.38000000,25865.38000000,25849.76000000,25860.00000000,51.90672000,1693700699999,1342191.23717860,1404,31.39594000,811818.14373860,0
1693700700000,25860.01000000,25860.01000000,25860.00000000,25860.01000000,18.57501000,1693700999999,480349.86347740,923,10.48774000,271213.06127740,0
1693701000000,25860.00000000,25860.01000000,25826.29000000,25841.70000000,83.94079000,1693701299999,2169123.16114150,1954,29.31450000,757416.36147120,0
1693701300000,25841.71000000,25846.50000000,25841.70000000,25846.50000000,15.49049000,1693701599999,400337.36590510,895,11.41441000,294990.84204090,0
1693701600000,25846.49000000,25853.98000000,25846.49000000,25848.49000000,30.98902000,1693701899999,801062.71759060,1056,14.39342000,372054.75954910,0
1693701900000,25848.48000000,25853.12000000,25848.48000000,25853.12000000,19.04267000,1693702199999,492242.08585810,1070,14.09463000,364341.34882410,0
1693702200000,25853.12000000,25855.55000000,25853.11000000,25855.55000000,18.30175000,1693702499999,473166.41377230,1025,10.11324000,261465.61174600,0
1693702500000,25855.54000000,25870.00000000,25855.54000000,25869.99000000,36.69931000,1693702799999,949125.91257890,1582,21.63075000,559400.17621690,0
1693702800000,25869.99000000,25894.93000000,25869.99000000,25894.93000000,57.68166000,1693703099999,1492648.64906820,1625,44.44741000,1150230.91955620,0
1693703100000,25894.92000000,25895.00000000,25881.52000000,25884.10000000,33.55734000,1693703399999,868772.26666570,1617,13.12409000,339745.72805500,0
1693703400000,25884.10000000,25907.53000000,25884.10000000,25900.01000000,63.19254000,1693703699999,1636421.98880320,1708,45.21690000,1170899.04271050,0
1693703700000,25900.01000000,25900.01000000,25885.81000000,25887.75000000,15.83166000,1693703999999,409891.72232840,1070,4.37899000,113373.10843690,0
1693704000000,25887.76000000,25894.03000000,25887.75000000,25894.02000000,10.06094000,1693704299999,260467.14833590,916,7.17955000,185871.61117770,0
1693704300000,25894.03000000,25894.03000000,25874.91000000,25877.19000000,34.47008000,1693704599999,892203.85694520,1176,5.09210000,131788.19738860,0
1693704600000,25877.18000000,25878.11000000,25877.18000000,25878.11000000,11.88527000,1693704899999,307557.70710740,829,7.86474000,203517.68301600,0
1693704900000,25878.10000000,25879.66000000,25861.02000000,25870.08000000,188.67530000,1693705199999,4880945.24644080,2347,133.41965000,3451425.31592290,0
1693705200000,25870.07000000,25872.62000000,25857.41000000,25864.10000000,67.90217000,1693705499999,1756333.53023500,1673,31.41065000,812425.26962690,0
1693705500000,25864.10000000,25864.11000000,25855.48000000,25859.02000000,20.25935000,1693705799999,523886.11745450,1100,7.84436000,202836.11227370,0
1693705800000,25859.02000000,25870.01000000,25859.01000000,25864.44000000,145.71340000,1693706099999,3768802.94166160,1708,114.28620000,2955921.63778800,0
